index,timestamp,static_object_0,static_object_1,motor_0_vibrate_software,motor_1_vibrate_software,pos0,button0,shadow_delta0,pos1,button1,shadow_delta1
0,0.0,166,466,0,0,580.3125,0,150.0,203.90625,0,150.0
1,0.0016973799993138527,166,466,0,0,580.3125,0,150.0,203.90625,0,150.0
2,0.0039127529998950195,166,466,0,0,580.3125,0,150.0,203.4375,0,150.0
3,0.005926035999436863,166,466,0,0,580.3125,0,150.0,203.4375,0,150.0
4,0.008048779998716782,166,466,0,0,580.3125,0,150.0,202.96875,0,150.0
5,0.010070655000163242,166,466,0,0,580.3125,0,150.0,202.5,0,150.0
6,0.011230432999582263,166,466,0,0,580.3125,0,150.0,202.5,0,150.0
7,0.012480358000175329,166,466,0,0,580.3125,0,150.0,202.5,0,150.0
8,0.013975389998449828,166,466,0,0,580.3125,0,150.0,202.03125,0,150.0
9,0.01619826199930685,166,466,0,0,580.3125,0,150.0,202.03125,0,150.0
10,0.01731100399956631,166,466,0,0,580.3125,0,150.0,201.5625,0,150.0
11,0.019379544999537757,166,466,0,0,580.3125,0,150.0,201.5625,0,150.0
12,0.02140438399874256,166,466,0,0,580.3125,0,150.0,201.09375,0,150.0
13,0.02347847999953956,166,466,0,0,580.3125,0,150.0,200.625,0,150.0
14,0.025458967998929438,166,466,0,0,580.3125,0,150.0,200.625,0,150.0
15,0.028879783998490893,166,466,0,0,580.3125,0,150.0,200.15625,0,150.0
16,0.030297927998617524,166,466,0,0,580.3125,0,150.0,199.6875,0,150.0
17,0.031580518998453044,166,466,0,0,580.3125,0,150.0,199.6875,0,150.0
18,0.03377940999962448,166,466,0,0,580.3125,0,150.0,199.21875,0,150.0
19,0.034900891998404404,166,466,0,0,580.3125,0,150.0,198.75,0,150.0
20,0.037114801998541225,166,466,0,0,580.3125,0,150.0,198.75,0,150.0
21,0.03909949299850268,166,466,0,0,580.3125,0,150.0,198.28125,0,150.0
22,0.04129686499982199,166,466,0,0,580.3125,0,150.0,198.28125,0,150.0
23,0.042517549998592585,166,466,0,0,580.3125,0,150.0,197.8125,0,150.0
24,0.04468960799931665,166,466,0,0,580.3125,0,150.0,197.34375,0,150.0
25,0.04584112699922116,166,466,0,0,580.3125,0,150.0,197.34375,0,150.0
26,0.048015203999966616,166,466,0,0,580.3125,0,150.0,196.875,0,150.0
27,0.05026142799943045,166,466,0,0,580.3125,0,150.0,196.40625,0,150.0
28,0.0524485599999025,166,466,0,0,580.3125,0,150.0,195.9375,0,150.0
29,0.05356193099942175,166,466,0,0,580.3125,0,150.0,195.9375,0,150.0
30,0.05572469299841032,166,466,0,0,580.3125,0,150.0,195.46875,0,150.0
31,0.05785599299997557,166,466,0,0,580.3125,0,150.0,195.0,0,150.0
32,0.05922174899933452,166,466,0,0,580.3125,0,150.0,195.0,0,150.0
33,0.06133382699954382,166,466,0,0,580.3125,0,150.0,194.53125,0,150.0
34,0.0638988229984534,166,466,0,0,580.3125,0,150.0,194.0625,0,150.0
35,0.0660733810000238,166,466,0,0,580.3125,0,150.0,193.59375,0,150.0
36,0.06825214299897198,166,466,0,0,580.3125,0,150.0,193.125,0,150.0
37,0.07038218399975449,166,466,0,0,580.3125,0,150.0,193.125,0,150.0
38,0.07245365099879564,166,466,0,0,580.3125,0,150.0,192.65625,0,150.0
39,0.07474589199955517,166,466,0,0,580.3125,0,150.0,192.1875,0,150.0
40,0.07686532199841167,166,466,0,0,580.3125,0,150.0,191.71875,0,150.0
41,0.07926500599933206,166,466,0,0,580.3125,0,150.0,191.25,0,150.0
42,0.08135808399856614,166,466,0,0,580.3125,0,150.0,191.25,0,150.0
43,0.08352919800017844,166,466,0,0,580.3125,0,150.0,190.78125,0,150.0
44,0.08567955299986352,166,466,0,0,580.3125,0,150.0,190.3125,0,150.0
45,0.08794803599994339,166,466,0,0,580.3125,0,150.0,189.84375,0,150.0
46,0.09006396499898983,166,466,0,0,580.3125,0,150.0,189.84375,0,150.0
47,0.09216350599854195,166,466,0,0,580.3125,0,150.0,189.375,0,150.0
48,0.09538904799956072,166,466,0,0,580.3125,0,150.0,188.90625,0,150.0
49,0.09851173899915011,166,466,0,0,580.3125,0,150.0,188.4375,0,150.0
50,0.09966483199968934,166,466,0,0,580.3125,0,150.0,188.4375,0,150.0
51,0.10183394599880558,166,466,0,0,580.3125,0,150.0,187.96875,0,150.0
52,0.10303392700006953,166,466,0,0,580.3125,0,150.0,187.96875,0,150.0
53,0.10515478199886275,166,466,0,0,580.3125,0,150.0,187.5,0,150.0
54,0.10725115700006427,166,466,0,0,580.3125,0,150.0,187.03125,0,150.0
55,0.10844810099843016,166,466,0,0,580.3125,0,150.0,187.03125,0,150.0
56,0.11052658599874121,166,466,0,0,580.3125,0,150.0,186.5625,0,150.0
57,0.11168967899902782,166,466,0,0,580.3125,0,150.0,186.5625,0,150.0
58,0.11384105199977057,166,466,0,0,580.3125,0,150.0,186.09375,0,150.0
59,0.11499347899916756,166,466,0,0,580.3125,0,150.0,186.09375,0,150.0
60,0.11715550000008079,166,466,0,0,580.3125,0,150.0,185.625,0,150.0
61,0.1183560919998854,166,466,0,0,580.3125,0,150.0,185.625,0,150.0
62,0.12050972499855561,166,466,0,0,580.3125,0,150.0,185.15625,0,150.0
63,0.12266137599908689,166,466,0,0,580.3125,0,150.0,184.6875,0,150.0
64,0.12485043400010909,166,466,0,0,580.3125,0,150.0,184.21875,0,150.0
65,0.1259865459996945,166,466,0,0,580.3125,0,150.0,184.21875,0,150.0
66,0.12712830499913252,166,466,0,0,580.3125,0,150.0,183.75,0,150.0
67,0.12830428699999175,166,466,0,0,580.3125,0,150.0,183.75,0,150.0
68,0.14241684199987503,166,466,0,0,580.3125,0,150.0,181.875,0,150.0
69,0.1440422599989688,166,466,0,0,580.3125,0,150.0,180.9375,0,150.0
70,0.14583125099852623,166,466,0,0,580.3125,0,150.0,180.46875,0,150.0
71,0.14747870599967428,166,466,0,0,580.3125,0,150.0,180.0,0,150.0
72,0.1490762919984263,166,466,0,0,580.3125,0,150.0,180.0,0,150.0
73,0.15079004299877852,166,466,0,0,580.3125,0,150.0,179.53125,0,150.0
74,0.1524018869986321,166,466,0,0,580.3125,0,150.0,179.0625,0,150.0
75,0.15440198499891267,166,466,0,0,580.3125,0,150.0,178.59375,0,150.0
76,0.15623123399927863,166,466,0,0,580.3125,0,150.0,178.59375,0,150.0
77,0.15796561399838538,166,466,0,0,580.3125,0,150.0,178.125,0,150.0
78,0.1598275479991571,166,466,0,0,580.3125,0,150.0,177.65625,0,150.0
79,0.16147909599931154,166,466,0,0,580.3125,0,150.0,177.65625,0,150.0
80,0.1635835439992661,166,466,0,0,580.3125,0,150.0,177.1875,0,150.0
81,0.1655985489996965,166,466,0,0,580.3125,0,150.0,176.71875,0,150.0
82,0.16734305899990431,166,466,0,0,580.3125,0,150.0,176.71875,0,150.0
83,0.1690203099988139,166,466,0,0,580.3125,0,150.0,176.25,0,150.0
84,0.1707410049984901,166,466,0,0,580.3125,0,150.0,175.78125,0,150.0
85,0.17256193899993377,166,466,0,0,580.3125,0,150.0,175.78125,0,150.0
86,0.1742615229995863,166,466,0,0,580.3125,0,150.0,175.3125,0,150.0
87,0.17594947799989313,166,466,0,0,580.3125,0,150.0,174.84375,0,150.0
88,0.17758943399894633,166,466,0,0,580.3125,0,150.0,174.84375,0,150.0
89,0.17916866799896525,166,466,0,0,580.3125,0,150.0,174.375,0,150.0
90,0.18077697599983367,166,466,0,0,580.3125,0,150.0,173.90625,0,150.0
91,0.1824024500001542,166,466,0,0,580.3125,0,150.0,173.90625,0,150.0
92,0.18402268399950117,166,466,0,0,580.3125,0,150.0,173.4375,0,150.0
93,0.1856154549986968,166,466,0,0,580.3125,0,150.0,172.96875,0,150.0
94,0.18740120499933255,166,466,0,0,580.3125,0,150.0,172.96875,0,150.0
95,0.18900560499969288,166,466,0,0,580.3125,0,150.0,172.5,0,150.0
96,0.19059567299882474,166,466,0,0,580.3125,0,150.0,172.5,0,150.0
97,0.19219901799988293,166,466,0,0,580.3125,0,150.0,172.03125,0,150.0
98,0.19377921500017692,166,466,0,0,580.3125,0,150.0,171.5625,0,150.0
99,0.19546155899843143,166,466,0,0,580.3125,0,150.0,171.5625,0,150.0
100,0.1970783479991951,166,466,0,0,580.3125,0,150.0,171.09375,0,150.0
101,0.1987122669997916,166,466,0,0,580.3125,0,150.0,170.625,0,150.0
102,0.20036727799924847,166,466,0,0,580.3125,0,150.0,170.625,0,150.0
103,0.20198471499861625,166,466,0,0,580.3125,0,150.0,170.15625,0,150.0
104,0.2038004269998055,166,466,0,0,580.3125,0,150.0,169.6875,0,150.0
105,0.2054693079990102,166,466,0,0,580.3125,0,150.0,169.6875,0,150.0
106,0.20710807899922656,166,466,0,0,580.3125,0,150.0,169.21875,0,150.0
107,0.20873105299870076,166,466,0,0,580.3125,0,150.0,168.75,0,150.0
108,0.2103251389999059,166,466,0,0,580.3125,0,150.0,168.75,0,150.0
109,0.2121391839991702,166,466,0,0,580.3125,0,150.0,168.28125,0,150.0
110,0.21373445499921218,166,466,0,0,580.3125,0,150.0,167.8125,0,150.0
111,0.21543557699988014,166,466,0,0,580.3125,0,150.0,167.34375,0,150.0
112,0.21705353200013633,166,466,0,0,580.3125,0,150.0,167.34375,0,150.0
113,0.21865359999901557,166,466,0,0,580.3125,0,150.0,166.875,0,150.0
114,0.22030888799963577,166,466,0,0,580.3125,0,150.0,166.40625,0,150.0
115,0.22189389999948617,166,466,0,0,580.3125,0,150.0,165.9375,0,150.0
116,0.22368248299972038,166,466,0,0,580.3125,0,150.0,165.9375,0,150.0
117,0.22527710599933926,166,466,0,0,580.3125,0,150.0,165.46875,0,150.0
118,0.22685908099992957,166,466,0,0,580.3125,0,150.0,165.46875,0,150.0
119,0.22845101899838482,166,466,0,0,580.3125,0,150.0,165.0,0,150.0
120,0.23059437399933813,166,466,0,0,580.3125,0,150.0,164.53125,0,150.0
121,0.23258663900014653,166,466,0,0,580.3125,0,150.0,164.0625,0,150.0
122,0.23420942799930344,166,466,0,0,580.3125,0,150.0,164.0625,0,150.0
123,0.23582156900010887,166,466,0,0,580.3125,0,150.0,163.59375,0,150.0
124,0.2374096549992828,166,466,0,0,580.3125,0,150.0,163.125,0,150.0
125,0.2390611849987181,166,466,0,0,580.3125,0,150.0,162.65625,0,150.0
126,0.24064836299839953,166,466,0,0,580.3125,0,150.0,162.1875,0,150.0
127,0.2423762620001071,166,466,0,0,580.3125,0,150.0,162.1875,0,150.0
128,0.24404253200009407,166,466,0,0,580.3125,0,150.0,161.71875,0,150.0
129,0.24564924699916446,166,466,0,0,580.3125,0,150.0,161.71875,0,150.0
130,0.24729379499876813,166,466,0,0,580.3125,0,150.0,161.25,0,150.0
131,0.24890626999876986,166,466,0,0,580.3125,0,150.0,160.78125,0,150.0
132,0.25064711300001363,166,466,0,0,580.3125,0,150.0,160.3125,0,150.0
133,0.2523706409992883,166,466,0,0,580.3125,0,150.0,159.84375,0,150.0
134,0.2539552829985041,166,466,0,0,580.3125,0,150.0,159.84375,0,150.0
135,0.25563632999910624,166,466,0,0,580.3125,0,150.0,159.375,0,150.0
136,0.2572263419988303,166,466,0,0,580.3125,0,150.0,158.90625,0,150.0
137,0.25890746400000353,166,466,0,0,580.3125,0,150.0,158.4375,0,150.0
138,0.2606292879991088,166,466,0,0,580.3125,0,150.0,157.96875,0,150.0
139,0.2622090409986413,166,466,0,0,580.3125,0,150.0,157.5,0,150.0
140,0.26380995999898005,166,466,0,0,580.3125,0,150.0,157.03125,0,150.0
141,0.26543256399963866,166,466,0,0,580.3125,0,150.0,157.03125,0,150.0
142,0.2670132429993828,166,466,0,0,580.3125,0,150.0,156.09375,0,150.0
143,0.2685995699994237,166,466,0,0,580.3125,0,150.0,156.09375,0,150.0
144,0.27036626399967645,166,466,0,0,580.3125,0,150.0,155.625,0,150.0
145,0.27206108899918036,166,466,0,0,580.3125,0,150.0,155.15625,0,150.0
146,0.27364180499898794,166,466,0,0,580.3125,0,150.0,154.6875,0,150.0
147,0.2752867419985705,166,466,0,0,580.3125,0,150.0,154.6875,0,150.0
148,0.27686932799952046,166,466,0,0,580.3125,0,150.0,154.21875,0,150.0
149,0.27856268999858,166,466,0,0,580.3125,0,150.0,153.75,0,150.0
150,0.28017425699908927,166,466,0,0,580.3125,0,150.0,153.28125,0,150.0
151,0.28189721099988674,166,466,0,0,580.3125,0,150.0,153.28125,0,150.0
152,0.2835117039994657,166,466,0,0,580.3125,0,150.0,152.8125,0,150.0
153,0.2851347709984111,166,466,0,0,580.3125,0,150.0,152.34375,0,150.0
154,0.2867292829996586,166,466,0,0,580.3125,0,150.0,151.875,0,150.0
155,0.2883154619994457,166,466,0,0,580.3125,0,150.0,151.875,0,150.0
156,0.29006610099895624,166,466,0,0,579.84375,0,150.0,151.40625,0,150.0
157,0.29174577799858525,166,466,0,0,579.84375,0,150.0,150.9375,0,150.0
158,0.29332982699997956,166,466,0,0,579.84375,0,150.0,150.46875,0,150.0
159,0.29495668999879854,166,466,0,0,579.84375,0,150.0,150.0,0,150.0
160,0.29725596899879747,166,466,0,0,579.84375,0,150.0,149.53125,0,150.0
161,0.29938486099854345,166,466,0,1,579.84375,0,150.0,149.0625,0,150.0
162,0.30077087599966035,166,466,0,1,579.84375,0,150.0,149.0625,0,150.0
163,0.3026842899998883,166,466,0,1,579.84375,0,150.0,148.59375,0,150.0
164,0.30432904199915356,166,466,0,1,579.84375,0,150.0,148.125,0,150.0
165,0.3059274799998093,166,466,0,1,579.84375,0,150.0,147.65625,0,150.0
166,0.3075589909985865,166,466,0,1,579.375,0,150.0,147.1875,0,150.0
167,0.30915996600015205,166,466,0,1,579.375,0,150.0,146.71875,0,150.0
168,0.31081595799878414,166,466,0,1,579.375,0,150.0,146.25,0,150.0
169,0.31239726599960704,166,466,0,1,579.375,0,150.0,145.78125,0,150.0
170,0.3140902399991319,166,466,0,1,579.375,0,150.0,145.78125,0,150.0
171,0.31572197300010885,166,466,0,1,579.375,0,150.0,145.3125,0,150.0
172,0.3173077439987537,166,466,0,1,579.375,0,150.0,144.84375,0,150.0
173,0.31892171899926325,166,466,0,1,579.375,0,150.0,144.375,0,150.0
174,0.32051413799854345,166,466,0,1,579.375,0,150.0,144.375,0,150.0
175,0.3220993909999379,166,466,0,1,579.375,0,150.0,143.90625,0,150.0
176,0.32372008799939067,166,466,0,1,579.375,0,150.0,143.4375,0,150.0
177,0.3253699319993757,166,466,0,1,579.375,0,150.0,142.96875,0,150.0
178,0.32695212899852777,166,466,0,1,578.90625,0,150.0,142.5,0,150.0
179,0.328662138999789,166,466,0,1,578.90625,0,150.0,142.5,0,150.0
180,0.33028389099854394,166,466,0,1,578.90625,0,150.0,142.03125,0,150.0
181,0.3318769399993471,166,466,0,1,578.90625,0,150.0,141.5625,0,150.0
182,0.33346772999902896,166,466,0,1,578.90625,0,150.0,141.5625,0,150.0
183,0.3350426119995973,166,466,0,1,578.90625,0,150.0,141.09375,0,150.0
184,0.3366423279985611,166,466,0,1,578.90625,0,150.0,140.625,0,150.0
185,0.33822393199989165,166,466,0,1,578.90625,0,150.0,140.625,0,150.0
186,0.33993560899943986,166,466,0,1,578.90625,0,150.0,140.15625,0,150.0
187,0.34150428799875954,166,466,0,1,578.90625,0,150.0,139.6875,0,150.0
188,0.3432599819989264,166,466,0,1,578.4375,0,150.0,139.21875,0,150.0
189,0.34489958599988313,166,466,0,1,578.4375,0,150.0,138.75,0,150.0
190,0.346500986999672,166,466,0,1,578.4375,0,150.0,138.75,0,150.0
191,0.34826382899882447,166,466,0,1,578.4375,0,150.0,138.28125,0,150.0
192,0.34985598899947945,166,466,0,1,578.4375,0,150.0,137.8125,0,150.0
193,0.3515390920001664,166,466,0,1,578.4375,0,150.0,137.34375,0,150.0
194,0.3531767149997904,166,466,0,1,578.4375,0,150.0,137.34375,0,150.0
195,0.3547766519986908,166,466,0,1,578.4375,0,150.0,136.875,0,150.0
196,0.35639903399896866,166,466,0,1,577.96875,0,150.0,136.40625,0,150.0
197,0.35798515699934796,166,466,0,1,577.96875,0,150.0,136.40625,0,150.0
198,0.35982859099931375,166,466,0,1,577.96875,0,150.0,135.9375,0,150.0
199,0.36143558399999165,166,466,0,1,577.96875,0,150.0,135.46875,0,150.0
200,0.36303439199946297,166,466,0,1,577.96875,0,150.0,135.0,0,150.0
201,0.3651664509998227,166,466,0,1,577.96875,0,150.0,134.53125,0,150.0
